employee_id,first_name,last_name,date_of_birth,phone_number,email,address,start_date,employment_status,department_id
1,John,Doe,1985-03-15,555-0101,john.doe@example.com,"123 Main St, Anytown, AN 12345",2018-01-15,Full-time,1
2,Jane,Smith,1990-07-22,555-0102,jane.smith@example.com,"456 Elm St, Somewhere, SW 67890",2019-03-01,Full-time,1
3,Emily,Johnson,1988-11-30,555-0103,emily.johnson@example.com,"789 Oak St, Nowhere, NW 13579",2017-06-01,Part-time,1
4,Michael,Brown,1982-09-05,555-0201,michael.brown@example.com,"321 Pine St, Elsewhere, EL 24680",2015-04-01,Full-time,2
5,Sarah,Davis,1992-01-18,555-0202,sarah.davis@example.com,"654 Cedar St, Anyplace, AP 97531",2020-02-15,Full-time,2
6,David,Wilson,1987-06-11,555-0203,david.wilson@example.com,"987 Birch St, Somewhere, SW 35791",2016-09-01,Contract,2
7,Jennifer,Taylor,1991-04-25,555-0301,jennifer.taylor@example.com,"147 Maple St, Nowhere, NW 75319",2018-07-01,Full-time,3
8,Robert,Anderson,1986-08-14,555-0302,robert.anderson@example.com,"258 Walnut St, Elsewhere, EL 95135",2017-11-15,Full-time,3
9,Lisa,Thomas,1993-12-03,555-0303,lisa.thomas@example.com,"369 Spruce St, Anytown, AN 15935",2021-01-10,Intern,3
10,William,Jackson,1984-02-29,555-0401,william.jackson@example.com,"741 Ash St, Somewhere, SW 75395",2016-03-01,Full-time,4
11,Mary,White,1989-10-17,555-0402,mary.white@example.com,"852 Elm St, Nowhere, NW 95135",2019-05-15,Full-time,4
12,James,Harris,1994-07-07,555-0403,james.harris@example.com,"963 Oak St, Elsewhere, EL 35791",2022-02-01,Part-time,4
13,Patricia,Martin,1983-05-20,555-0501,patricia.martin@example.com,"159 Pine St, Anyplace, AP 75319",2015-08-01,Full-time,5
14,Richard,Thompson,1990-09-09,555-0502,richard.thompson@example.com,"267 Cedar St, Somewhere, SW 95135",2018-11-15,Full-time,5
15,Elizabeth,Garcia,1995-03-28,555-0503,elizabeth.garcia@example.com,"378 Birch St, Nowhere, NW 35791",2021-06-01,Contract,5
16,Charles,Martinez,1981-11-12,555-0601,charles.martinez@example.com,"483 Maple St, Elsewhere, EL 75319",2014-09-01,Full-time,6
17,Susan,Robinson,1988-04-05,555-0602,susan.robinson@example.com,"592 Walnut St, Anytown, AN 95135",2017-12-15,Full-time,6
18,Joseph,Clark,1993-08-23,555-0603,joseph.clark@example.com,"701 Spruce St, Somewhere, SW 35791",2020-07-01,Intern,6
19,Margaret,Rodriguez,1986-01-30,555-0701,margaret.rodriguez@example.com,"816 Ash St, Nowhere, NW 75319",2016-05-01,Full-time,7
20,Thomas,Lewis,1991-06-19,555-0702,thomas.lewis@example.com,"927 Elm St, Elsewhere, EL 95135",2019-08-15,Part-time,7
21,Dorothy,Lee,1996-10-08,555-0703,dorothy.lee@example.com,"038 Oak St, Anyplace, AP 35791",2022-03-01,Full-time,7
